Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,1.883500,0.000000,0
Solver,34.780600,24.188482,8.4129e+08
Solver Cleanup,0.002900,0.000000,0
Matvec,0.000000,-nan,0
PFSB I/O,0.000000,-nan,0
PFB I/O,26.455300,0.000000,0
CLM,7.280300,0.000000,0
PFSOL Read,0.052800,0.000000,0
Clustering,0.860700,0.000000,0
Permeability Face,0.000000,-nan,0
Godunov Advection,0.000000,-nan,0
Geometries,0.455400,0.000000,0
SubsrfSim,0.128100,0.000000,0
Porosity,0.000100,0.000000,0
PhaseRelPerm,0.041200,0.007282,300
PFMGOctree,0.057200,0.000000,0
HYPRE_Copies,0.029700,0.000000,0
NL_F_Eval,0.109200,0.001832,200
KINSol,15.722000,53.510361,8.4129e+08
Total Runtime,36.568500,-nan,0
